level,stage,exercise_id,subtype,field,text
2,2,L2-PS-2,pair_synonyms,hint,Observa cómo cada palabra describe lo mismo.
2,2,L2-PS-3,pair_synonyms,hint,Une el número con su nombre escrito.
2,3,L2-PA-1,pair_antonyms,hint,Une palabras que significan lo contrario.
2,3,L2-PA-2,pair_antonyms,hint,Recuerda: el opuesto crea equilibrio mágico.
2,4,L2-UW-1,UNSCRAMBLE_WORD,hint,Comida caliente.
2,4,L2-UW-2,UNSCRAMBLE_WORD,hint,Un animal doméstico.
2,5,L2-CW-1,COMPLETE_WORD,prompt,Completa la palabra: s_p_
2,5,L2-CW-1,COMPLETE_WORD,hint,Salta y vive en el agua.
2,5,L2-CW-2,COMPLETE_WORD,prompt,Completa la palabra: l_n_
2,5,L2-CW-2,COMPLETE_WORD,hint,Brilla de noche.
3,1,L3-SS-1,sentence_selection,prompt,Elige la frase que describe mejor lo que ves en tu mente.
3,1,L3-SS-1,sentence_selection,hint,Busca la frase con orden lógico sujeto-verbo-objeto.
3,1,L3-SS-2,sentence_selection,prompt,Escoge la frase que te suena natural.
3,1,L3-SS-2,sentence_selection,hint,Piensa en cómo dirías la frase a un amigo.
3,1,L3-SS-3,sentence_selection,prompt,¿Cuál frase cuenta una acción realista?
3,1,L3-SS-3,sentence_selection,hint,Elige la frase con personajes que pueden realizar la acción.
3,2,L3-AQ-1,audio_question,question,¿Qué animal cruza el puente?
3,2,L3-AQ-1,audio_question,context,"En el bosque mágico, un animal cruza con cuidado el puente brillante."
3,2,L3-AQ-1,audio_question,hint,Lee el contexto si no hay audio disponible.
3,2,L3-AQ-2,audio_question,question,¿Qué busca el mono curioso?
3,2,L3-AQ-2,audio_question,context,El mono curioso busca su mochila verde para la clase de magia.
3,2,L3-AQ-2,audio_question,hint,"Si no escuchas audio, lee el texto 'context'."
3,2,L3-AQ-3,audio_question,question,¿Qué hacen los amigos al final?
3,2,L3-AQ-3,audio_question,context,"Después de la aventura, los amigos toman té de estrellas."
3,2,L3-AQ-3,audio_question,hint,Busca pistas en la última parte del texto.
3,3,L3-SO-1,SYLLABLE_ORDER,hint,Animal que salta.
3,3,L3-SO-2,SYLLABLE_ORDER,hint,Brilla en la noche.
4,1,L4-AW-1,audio_write,instruction,Escribe la palabra que escuchas o lees:
4,1,L4-AW-1,audio_write,fallbackText,Escribe: luciérnaga
4,1,L4-AW-1,audio_write,hint,Recuerda colocar la tilde correcta.
4,1,L4-AW-2,audio_write,instruction,Escribe la frase completa.
4,1,L4-AW-2,audio_write,fallbackText,Escribe: El dragón sopla nubes de algodón.
4,1,L4-AW-2,audio_write,hint,Empieza con mayúscula y termina con punto.
4,2,L4-TW-1,text_write,instruction,Escribe una frase que incluya la palabra 'magia'.
4,2,L4-TW-1,text_write,hint,Asegúrate de usar la palabra mágica.
4,2,L4-TW-2,text_write,instruction,Escribe el nombre de la figura o símbolo: 🔺
4,2,L4-TW-2,text_write,hint,Piensa en la forma geométrica del símbolo.
4,2,L4-TW-3,text_write,instruction,Ordena las letras y escribe la palabra: lvase
4,2,L4-TW-3,text_write,hint,Piensa en un lugar lleno de árboles.
4,2,L4-TW-4,text_write,instruction,Ordena las letras y escribe la palabra: oglob
4,2,L4-TW-4,text_write,hint,Se infla para flotar en el aire.
4,2,L4-TW-5,text_write,instruction,Completa la palabra: L_n_s (día de la semana)
4,2,L4-TW-5,text_write,hint,Empieza la semana.
4,3,L4-RA-1,READ_AND_ANSWER,text,El oso Simón vive en una cueva y come miel dulce.
4,3,L4-RA-1,READ_AND_ANSWER,hint,Busca dónde vive.
4,3,L4-RA-2,READ_AND_ANSWER,text,La vaca Lola camina al río para beber agua fresca.
4,3,L4-RA-2,READ_AND_ANSWER,hint,¿Qué hace en el río?
5,1,L5-TC-1,tense_classify,sentence,Ayer dibujé una estrella brillante.
5,1,L5-TC-1,tense_classify,hint,Observa la palabra 'ayer'.
5,1,L5-TC-2,tense_classify,sentence,Hoy comparto mi cuaderno mágico.
5,1,L5-TC-2,tense_classify,hint,La acción ocurre en este momento.
5,1,L5-TC-3,tense_classify,sentence,Mañana estudiaré los hechizos nuevos.
5,1,L5-TC-3,tense_classify,hint,"Si dice 'mañana', piensa en el futuro."
5,2,L5-SP-1,singular_plural,hint,Observa cómo cambian las terminaciones al plural.
5,3,L5-AG-1,accent_game,hint,Recuerda: melodía lleva tilde en la sílaba fuerte.
5,3,L5-AG-2,accent_game,hint,Imagina dónde suena más fuerte la palabra.
5,4,L5-PG-1,punctuation_game,sentence,Que sorpresa verte aqui
5,4,L5-PG-1,punctuation_game,hint,La frase expresa sorpresa.
5,4,L5-PG-2,punctuation_game,sentence,Como te llamas
5,4,L5-PG-2,punctuation_game,hint,"Es una pregunta, necesita signos interrogativos."
5,4,L5-PG-3,punctuation_game,sentence,Gracias por ayudarme
5,4,L5-PG-3,punctuation_game,hint,Una afirmación termina con punto.
5,5,L5-FE-1,final_exam,question,"¿Qué tiempo verbal usa la frase: ""Mañana cantaré con el coro""?"
5,5,L5-FE-1,final_exam,hint,Busca palabras que indiquen futuro.
5,5,L5-FE-2,final_exam,question,"Elige el signo que completa la frase: ""¿Vienes a la clase de magia"""
5,5,L5-FE-2,final_exam,hint,Coloca el signo inicial correcto para una pregunta.
5,5,L5-FE-3,final_exam,question,¿Dónde colocarías la tilde en la palabra 'musica'?
5,5,L5-FE-3,final_exam,hint,Piensa en cómo suena la sílaba fuerte.
